114,EETC,ETON CENTRIS,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,231
115,ETCC,ETON CYBERPOD CORINTHIAN,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,245
116,ELCC,"EUGENIO LOPEZ, JR. COMMUNICATION CENTER","Mother Ignacia Avenue cor. Sgt. Esguerra St. Diliman, Quezon City",Quezon City,Metro Manila,NCR - METRO MANILA,NC000,67
117,EXBP,EXPORTBANK PLAZA,"Export Bank Drive corner Chino Roces Avenue, Makati City",Makati,Metro Manila,NCR - METRO MANILA,NC000,64
118,FEIC,FEDERATED I.T. CENTER,,,,,,304
119,FIPI,FEDERATED IT PARK II,,,,,,305
120,FWMI,FIESTA WORLD MALL IT CENTER,,Lipa,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,306
121,FEIP,FIL-ESTATE INDUSTRIAL PARK,,,,,,307
122,FBIP,FIRST BATANGAS INDUSTRIAL PARK,,,,,,308
123,FIBI,FIRST BATANGAS INDUSTRIAL PARK II,,,,,,309
124,FXUD,FAIRVIEW TERRACES CORPORATE CENTER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,462
125,FEIT,FEDERATED I.T. PARK,"Barangay Sacsac, Bacong, Negros Oriental",Bacong,Negros Oriental,REGION 7 - CENTRAL VISAYAS,07000,69
126,FWMR,FILAM LIFE IT TOWERS,Makati,,,,,455
127,FILA,FILANDIA IT CENTER,,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,270
128,FIEB,FILINVEST EDSA BUILDING,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,395
129,FITP,FILINVEST TECHNOLOGY PARK CALAMBA - SEZ,"Punta & Burol-Bubuyan, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,7
130,FCIE,FIRST CAVITE INDUSTRIAL ESTATE - SEZ,"Langkaan, Dasmarinas, Cavite",Dasmariñas,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,21
131,FXEW,FIRST INDUSTRIAL TOWNSHIP - SEZ,,,,,,464
132,FOBI,FIRST ORIENTAL BUSINESS & INDUSTRIAL PARK - SEZ,"Ilang, Bunawan District, Davao City",Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,72
133,FPIP,FIRST PHILIPPINE INDUSTRIAL PARK - SEZ,"Sta. Anastacia, Sto. Tomas, Batangas",Sto. Tomas,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,17
134,FGOA,FIRST PHILIPPINE INDUSTRIAL PARK II,,Sto. Tomas,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,432
135,FTIS,FOOD TERMINAL INC. - SEZ,"Food Terminal Complex, East Service Road Taguig, Metro Manila",Taguig,Metro Manila,NCR - METRO MANILA,NC000,6
136,FOPZ,FOODPORT PROCESSING ZONE,,,,,,420
137,FITZ,FORT ILOCANDIA TOURISM ECONOMIC ZONE,"Brgy. Balacad, Laoag City, Ilocos Norte",Laoag,Ilocos Norte,REGION 1 - ILOCOS REGION,01000,77
138,FMIT,FUSION MALL INFORMATION TECHNOLOGY BUILDING,"C5 corner Julia Vargas St., Pasig City",,,,,86
139,GEAI,G.E. ANTONINO IT CENTER,"Ermita, Manila",,,,,135
140,GAIC,GAGFA IT CENTER,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,310
141,GCIC,GAISANO CAPITAL INFO CENTER,,,,,,311
142,GAIE,GETERSON AGRO-INDUSTRIAL ECONOMIC ZONE,,,,,,313
143,GETE,GETERSON ECOZONE,,,,,,312
144,GGIZ,GGVPI IT ZONE,,,,,,314
145,GICC,GST ILOILO CORPORATE CENTER,,,,,,416
146,GTSC,GT TIMES SQUARE CEBU,,,,,,410
147,GTTI,GT TOWER INTERNATIONAL,Ayala Avenue corner H.V. Dela Costa Makati City,Makati,Metro Manila,NCR - METRO MANILA,NC000,54
148,GMMP,GT-METRO MEDICAL PARK,,,,,,315
149,GBPA,GATEWAY BUSINESS PARK - SEZ,"Javalera, General Trias, Cavite",General Trias,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,22
150,GAOT,GATEWAY OFFICE TOWER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,138
151,GATT,GATEWAY TOWER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,392
152,GNVZ,GENSAN ECONOMIC ZONE,,Gen. Santos,South Cotabato,REGION 12 - CENTRAL MINDANAO,12000,449
153,GCIB,GEORGETOWN CYBERMALL IT BUILDING,"R.N. Pelaez Blvd., Kauswagan, Cagayan de Oro City",,,,,100
154,GITC,GERNARINE INFORMATION TECHNOLOGY CENTER,,Legaspi City,Albay,REGION 5 - BICOL,05000,261
155,GIIP,GLOBAL ISPAT INDUSTRIAL PARK - SEZ,"Brgy. Tominobo, Overton, Iligan City Lanao del Norte",,,,,5
156,GLTC,GLOBAL TRADE CENTER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,142
157,G1BP,GLORIETTA 1 BPO,,Makati,Metro Manila,NCR - METRO MANILA,NC000,399
158,GL2B,GLORIETTA 2 BPO,,Makati,Metro Manila,NCR - METRO MANILA,NC000,393
159,G5IT,GLORIETTA 5 IT CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,203
160,GMSE,GOLDEN MILE BUSINESS PARK - SEZ,,Carmona,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,160
161,GOIT,GOODLAND I.T. CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,387
162,GCHR,GRAND CENIA HOTEL AND RESIDENCES,,,,,,415
163,GAPA,GREENFIELD AUTOMOTIVE PARK - SEZ,"Don Jose, Sta. Rosa, Laguna",Sta. Rosa,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,36
164,HANS,HANSTON SQUARE,,Pasig,Metro Manila,NCR - METRO MANILA,NC000,281
165,HWIT,HDMF-WTCI IT TOWER,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,177
166,HDNH,HGS CYBERPARK,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,444
167,HTEZ,HIJO TOURISM ECONOMIC ZONE,,,,,,316
168,HPIC,HPI CORPORATE CENTER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,246
169,HPSB,HPS BUILDING,"Plaridel Street, Mandaue City, Cebu",,,,,84
170,HCPA,HTMT CYBER PARK,"86 E. Rodriguez Jr, Avenue, Bgy. Ugong Norte, Quezon City",,,,,93
171,HAIP,HVG ARCADE I.T. PARK,"HVG Arcade, Subangdaku, Mandaue City",Mandaue,Cebu,REGION 7 - CENTRAL VISAYAS,07000,92
172,HACC,HARVESTER CORPORATE CENTER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,390
173,HERE,"HERMOSA ECOZONE INDUSTRIAL PARK
",,Hermosa,Bataan,REGION 3 - CENTRAL LUZON,03000,137
174,HIJO,HIJO SPECIAL ECONOMIC ZONE,,Tagum City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,228
175,ISBU,I-SQUARE BUILDING,ORTIGAS,Pasig,Metro Manila,NCR - METRO MANILA,NC000,381
176,IZUN,ILOILO BUSINESS PARK,,Iloilo City,Iloilo,REGION 6 - WESTERN VISAYAS,06000,437
177,ICDC,ILOILO COMMERCIAL DEVELOPMENT CORP. BUILDING,,Iloilo City,Iloilo,REGION 6 - WESTERN VISAYAS,06000,254
178,ILOT,ILOILO TECHNOHUB,,Iloilo City,Iloilo,REGION 6 - WESTERN VISAYAS,06000,284
179,IITP,INNOVE PLAZA,Samar Loop corner Panay Road,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,12
180,ILBU,INSULAR LIFE BUILDING,"6781 Ayala Avenue corner Paseo de Roxas, Makati City",Makati,Metro Manila,NCR - METRO MANILA,NC000,98
181,ILCC,INSULAR LIFE CORPORATE CENTER,"Life Drive, Filinvest Corporate City, Alabang, Muntinlupa City",Muntinlupa,Metro Manila,NCR - METRO MANILA,NC000,97
182,IZSE,IRASAN-ROXAS ZANORTE SPECIAL ECONOMIC ZONE,,Roxas,Zamboanga del Norte,REGION 9 - WESTERN MINDANAO,09000,398
183,ICTE,ISLAND COVE TOURISM ECONOMIC ZONE,"Covelandia Road, Binakayan, Kawit, Cavite",,,,,105
184,JSIC,J. SALVADOR I.T. CENTER,,,,,,317
185,JBSC,JELP BUSINESS SOLUTION CENTER,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,318
186,JESB,JESA BUILDING,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,280
187,JGSC,JG SUMMIT CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,170
188,JGCP,JGC PHILIPPINES BUILDING,Ayala Alabang,Muntinlupa,Metro Manila,NCR - METRO MANILA,NC000,152
189,JICH,JIM CYBER HUB,,,,,,319
190,JMIC,JMALL IT CENTER,,Mandaue,Cebu,REGION 7 - CENTRAL VISAYAS,07000,320
191,JSEP,JPLTI SPECIAL EXPORT PROCESSING,"Sitio Balubal, Bgy. San Isidro, Talakag, Bukidnon",,,,,81
192,JULB,JUAN LUNA BUILDING,,,,,,321
193,JSI2,JY SQUARE IT CENTER II,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,378
194,JYSC,JY SQUARE I.T. CENTER,"Salinas Drive, Lahug, Cebu City",Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,66
195,JYS3,JY SQUARE IT CENTER III,"SALINAS DRIVE, LAHUG, CEBU CITY",Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,222
196,JMOE,JASAAN MISAMIS ORIENTAL - SEZ,"Solana and Luz Banzon, Jasaan, Misamis Oriental",Jasaan,Misamis Oriental,REGION 10 - NORTHERN MINDANAO,10000,45
197,JVLJ,JAZZ IT CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,438
198,JHST,JOHN HAY SPECIAL TOURISM ECONOMIC ZONE,,Baguio,Benguet,CAR - CORDILLERA ADMINISTRATIVE REGION,CA000,207
199,JPSE,JOSE PANGANIBAN ECONOMIC ZONE - SEZ,Address,Jose Panganiban,Camarines Norte,REGION 5 - BICOL,05000,115
200,KPTC,K-POINTE TECHNOLOGY CENTER,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,324
201,KITE,KALIKSI ISLAND TOURISM ECONOMIC ZONE,,,,,,322
202,KDPS,KAWIT DEVELOPMENT PROJECT SPECIAL ECO-TOURISM ZONE,,,,,,323
203,KITZ,KRC I.T. ZONE,Address,Mandaue,Cebu,REGION 7 - CENTRAL VISAYAS,07000,114
204,KAIE,KAMANGA AGRO-INDUSTRIAL ECONOMIC ZONE,,Maasim,Sarangani,REGION 12 - CENTRAL MINDANAO,12000,283
205,KCSE,KEPPEL CEBU SPECIAL ECONOMIC ZONE,Lapu-lapu Cebu City,,,,,136
206,KCEN,KEPPEL CENTER,Address,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,111
207,KPMS,KEPPEL PHILIPPINE MARINE - SEZ,,Bauan,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,185
208,KCIT,KING'S COURT IT CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,279
209,LMAI,LCP MEDICAL ARTS AND INNOVATION CENTER I,,,,,,325
210,LEYM,LEYTE MIKYU ECONOMIC ZONE,Pawing Palo Leyte,Palo,Leyte,REGION 8 - EASTERN VISAYAS,08000,282
211,LITC,LIMKETKAI I.T. CENTER,,,,,,326
212,LINI,LINKSY IT PARK,,Dumaguete City,Negros Oriental,REGION 7 - CENTRAL VISAYAS,07000,327
213,LKGI,LKG INFOWORLD IT PARK,"Quirino Highway, Balintawak, Camachile, Quezon City",,,,,128
214,LSSI,LOPUE'S SOUTH SQUARE I.T. PARK,,Bacolod,Negros Occidental,REGION 6 - WESTERN VISAYAS,06000,328
215,LPIP,LP IT PARK,,Dumaguete City,Negros Oriental,REGION 7 - CENTRAL VISAYAS,07000,329
216,LIIP,LAGUNA INTERNATIONAL INDUSTRIAL PARK - SEZ,"Ganado & Mamplasan, Binan Laguna",Biñan,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,31
217,LTPA,LAGUNA TECHNOPARK ANNEX,,Biñan,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,223
218,LTP1,LAGUNA TECHNOPARK INC. - SEZ,"Biñan, Laguna",Biñan,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,32
219,LSIT,LAKESIDE EVOZONE IT PARK,,Sta. Rosa,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,183
220,LEPL,LEXMARK PLAZA,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,119
221,LIDE,LEYTE INDUSTRIAL DEVELOPMENT ESTATE - SEZ,"Isabel, Leyte",Isabel,Leyte,REGION 8 - EASTERN VISAYAS,08000,37
222,LICT,LEYTE INFORMATION COMMUNICATION TECHNOLOGY PARK,,Palo,Leyte,REGION 8 - EASTERN VISAYAS,08000,161
223,LHIC,LIBRAN HOUSE IT CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,178
224,LSP1,LIGHT INDUSTRY & SCIENCE PARK I - SEZ,"Diezmo, Cabuyao, Laguna",Cabuyao,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,33
225,LSP2,LIGHT INDUSTRY & SCIENCE PARK II - SEZ,"Real & La Mesa, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,34
226,LSP3,LIGHT INDUSTRY & SCIENCE PARK III - SEZ,"Real & La Mesa, Calamba, Laguna",Sto. Tomas,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,63
227,LTCL,LIMA TECHNOLOGY CENTER (LIPA),"San Lucas & Bugtong na Dulo, Inosluban Lipa City",Lipa,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,18
228,LEIT,LOPUE'S EAST I.T. CENTER,,Bacolod,Negros Occidental,REGION 6 - WESTERN VISAYAS,06000,211
229,LASI,LUISA AVENUE SQUARE IT BUILDING,Davao,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,195
230,LIPA,LUISITA INDUSTRIAL PARK - SEZ,"San Miguel, Tarlac",San Miguel,Tarlac,REGION 3 - CENTRAL LUZON,03000,47
